,Hostname,Application,Utilization(bps),Timestamp
2339,vdevice-host-name,dns,189.25,19-01-2019 12:50
2351,vdevice-host-name,dns,105,19-01-2019 12:55
2355,vdevice-host-name,dns,75.75,19-01-2019 13:00
2359,vdevice-host-name,dns,101.75,19-01-2019 13:05
2366,vdevice-host-name,dns,122.5,19-01-2019 13:10
2378,vdevice-host-name,dns,433.25,19-01-2019 13:15
2381,vdevice-host-name,dns,136.75,19-01-2019 13:20
2392,vdevice-host-name,dns,356.375,19-01-2019 13:25
2400,vdevice-host-name,dns,519.875,19-01-2019 13:30
2405,vdevice-host-name,dns,250.5,19-01-2019 13:35
2409,vdevice-host-name,dns,210,19-01-2019 13:40
2415,vdevice-host-name,dns,217.5,19-01-2019 13:45
2427,vdevice-host-name,dns,177.5,19-01-2019 13:50
2432,vdevice-host-name,dns,178,19-01-2019 13:55
2438,vdevice-host-name,dns,210,19-01-2019 14:00
2447,vdevice-host-name,dns,160,19-01-2019 14:05
2455,vdevice-host-name,dns,143,19-01-2019 14:10
2457,vdevice-host-name,dns,287.5,19-01-2019 14:15
2464,vdevice-host-name,dns,93.25,19-01-2019 14:20
2471,vdevice-host-name,dns,332.625,19-01-2019 14:25
2478,vdevice-host-name,dns,213,19-01-2019 14:30
2487,vdevice-host-name,dns,285.75,19-01-2019 14:35
2497,vdevice-host-name,dns,136.75,19-01-2019 14:40
2499,vdevice-host-name,dns,357.5,19-01-2019 14:45
2511,vdevice-host-name,dns,75.75,19-01-2019 14:50
2517,vdevice-host-name,dns,101.75,19-01-2019 14:55
2526,vdevice-host-name,dns,192.5,19-01-2019 15:00
2530,vdevice-host-name,dns,70,19-01-2019 15:05
2537,vdevice-host-name,dns,160,19-01-2019 15:10
2545,vdevice-host-name,dns,217.5,19-01-2019 15:15
2553,vdevice-host-name,dns,52.5,19-01-2019 15:20
2559,vdevice-host-name,dns,358.875,19-01-2019 15:25
2562,vdevice-host-name,dns,35,19-01-2019 15:30
2572,vdevice-host-name,dns,52.5,19-01-2019 15:35
2580,vdevice-host-name,dns,174.75,19-01-2019 15:40
2585,vdevice-host-name,dns,406.75,19-01-2019 15:45
2590,vdevice-host-name,dns,52.5,19-01-2019 15:50
2601,vdevice-host-name,dns,101.75,19-01-2019 15:55
2609,vdevice-host-name,dns,163.25,19-01-2019 16:00
2614,vdevice-host-name,dns,52.5,19-01-2019 16:05
2622,vdevice-host-name,dns,171.75,19-01-2019 16:10
2630,vdevice-host-name,dns,310.75,19-01-2019 16:15
2638,vdevice-host-name,dns,105,19-01-2019 16:20
2643,vdevice-host-name,dns,291.625,19-01-2019 16:25
2649,vdevice-host-name,dns,201.25,19-01-2019 16:30
2658,vdevice-host-name,dns,52.5,19-01-2019 16:35
2665,vdevice-host-name,dns,136.75,19-01-2019 16:40
2673,vdevice-host-name,dns,275.75,19-01-2019 16:45
2679,vdevice-host-name,dns,35,19-01-2019 16:50
2686,vdevice-host-name,dns,154.25,19-01-2019 16:55
2688,vdevice-host-name,dns,110.75,19-01-2019 17:00
2697,vdevice-host-name,dns,52.5,19-01-2019 17:05
2706,vdevice-host-name,dns,262.25,19-01-2019 17:10
2715,vdevice-host-name,dns,290.5,19-01-2019 17:15
2718,vdevice-host-name,dns,145.75,19-01-2019 17:20
2725,vdevice-host-name,dns,262.625,19-01-2019 17:25
2730,vdevice-host-name,dns,271.5,19-01-2019 17:30
2740,vdevice-host-name,dns,180.75,19-01-2019 17:35
2747,vdevice-host-name,dns,171.75,19-01-2019 17:40
2756,vdevice-host-name,dns,217.5,19-01-2019 17:45
2758,vdevice-host-name,dns,180.75,19-01-2019 17:50
2769,vdevice-host-name,dns,276.75,19-01-2019 17:55
2777,vdevice-host-name,dns,87.5,19-01-2019 18:00
2782,vdevice-host-name,dns,75.75,19-01-2019 18:05
2791,vdevice-host-name,dns,192.25,19-01-2019 18:10
2793,vdevice-host-name,dns,200,19-01-2019 18:15
2800,vdevice-host-name,dns,198.25,19-01-2019 18:20
2808,vdevice-host-name,dns,287.875,19-01-2019 18:25
2818,vdevice-host-name,dns,125.5,19-01-2019 18:30
2827,vdevice-host-name,dns,70,19-01-2019 18:35
2830,vdevice-host-name,dns,195,19-01-2019 18:40
2837,vdevice-host-name,dns,217.5,19-01-2019 18:45
2847,vdevice-host-name,dns,87.5,19-01-2019 18:50
2854,vdevice-host-name,dns,128.25,19-01-2019 18:55
2857,vdevice-host-name,dns,136.75,19-01-2019 19:00
2869,vdevice-host-name,dns,178,19-01-2019 19:05
2876,vdevice-host-name,dns,58.25,19-01-2019 19:10
2878,vdevice-host-name,dns,266.75,19-01-2019 19:15
2884,vdevice-host-name,dns,1084.125,19-01-2019 19:20
2892,vdevice-host-name,dns,300.625,19-01-2019 19:25
2899,vdevice-host-name,dns,244.75,19-01-2019 19:30
2911,vdevice-host-name,dns,122.5,19-01-2019 19:35
2918,vdevice-host-name,dns,271.25,19-01-2019 19:40
2922,vdevice-host-name,dns,336.75,19-01-2019 19:45
2928,vdevice-host-name,dns,52.5,19-01-2019 19:50
2938,vdevice-host-name,dns,93.25,19-01-2019 19:55
2945,vdevice-host-name,dns,154.25,19-01-2019 20:00
2950,vdevice-host-name,dns,35,19-01-2019 20:05
2957,vdevice-host-name,dns,180.75,19-01-2019 20:10
2962,vdevice-host-name,dns,336.75,19-01-2019 20:15
2972,vdevice-host-name,dns,70,19-01-2019 20:20
2981,vdevice-host-name,dns,341.625,19-01-2019 20:25
2988,vdevice-host-name,dns,174.75,19-01-2019 20:30
2995,vdevice-host-name,dns,160.5,19-01-2019 20:35
3002,vdevice-host-name,dns,110.75,19-01-2019 20:40
3007,vdevice-host-name,dns,266.75,19-01-2019 20:45
3012,vdevice-host-name,dns,143,19-01-2019 20:50
3022,vdevice-host-name,dns,52.5,19-01-2019 20:55
3026,vdevice-host-name,dns,177.5,19-01-2019 21:00
3033,vdevice-host-name,dns,122.5,19-01-2019 21:05
3043,vdevice-host-name,dns,143,19-01-2019 21:10
3048,vdevice-host-name,dns,456,19-01-2019 21:15
3058,vdevice-host-name,dns,157.5,19-01-2019 21:20
3059,vdevice-host-name,dns,329.875,19-01-2019 21:25
3071,vdevice-host-name,dns,247.75,19-01-2019 21:30
3075,vdevice-host-name,dns,75.75,19-01-2019 21:35
3083,vdevice-host-name,dns,52.5,19-01-2019 21:40
3089,vdevice-host-name,dns,339.75,19-01-2019 21:45
3100,vdevice-host-name,dns,75.75,19-01-2019 21:50
3101,vdevice-host-name,dns,105,19-01-2019 21:55
3111,vdevice-host-name,dns,101.75,19-01-2019 22:00
3118,vdevice-host-name,dns,58.25,19-01-2019 22:05
3125,vdevice-host-name,dns,52.5,19-01-2019 22:10
3133,vdevice-host-name,dns,354.25,19-01-2019 22:15
3142,vdevice-host-name,dns,145.75,19-01-2019 22:20
3147,vdevice-host-name,dns,195.875,19-01-2019 22:25
3150,vdevice-host-name,dns,189.25,19-01-2019 22:30
3158,vdevice-host-name,dns,75.75,19-01-2019 22:35
3165,vdevice-host-name,dns,122.5,19-01-2019 22:40
3172,vdevice-host-name,dns,287.5,19-01-2019 22:45
3180,vdevice-host-name,dns,119.25,19-01-2019 22:50
3186,vdevice-host-name,dns,75.75,19-01-2019 22:55
3192,vdevice-host-name,dns,105,19-01-2019 23:00
3200,vdevice-host-name,dns,119.25,19-01-2019 23:05
3210,vdevice-host-name,dns,52.5,19-01-2019 23:10
3215,vdevice-host-name,dns,258.25,19-01-2019 23:15
3223,vdevice-host-name,dns,101.75,19-01-2019 23:20
3231,vdevice-host-name,dns,265.875,19-01-2019 23:25
3237,vdevice-host-name,dns,201.25,19-01-2019 23:30
3243,vdevice-host-name,dns,101.75,19-01-2019 23:35
3251,vdevice-host-name,dns,70,19-01-2019 23:40
3261,vdevice-host-name,dns,240.75,19-01-2019 23:45
3267,vdevice-host-name,dns,154.25,19-01-2019 23:50
3275,vdevice-host-name,dns,105,19-01-2019 23:55
3280,vdevice-host-name,dns,145.75,20-01-2019 0:00
