,Hostname,Application,Utilization(kb),Timestamp
1449,vdevice-host-name,https,2.39,1/19/2019 2:15
1451,vdevice-host-name,dns,0.11,1/19/2019 2:15
1459,vdevice-host-name,https,2.86,1/19/2019 2:20
1462,vdevice-host-name,dns,0.08,1/19/2019 2:20
1463,vdevice-host-name,https,3.42,1/19/2019 2:25
1466,vdevice-host-name,dns,0.27,1/19/2019 2:25
1473,vdevice-host-name,https,2.33,1/19/2019 2:30
1475,vdevice-host-name,dns,0.2,1/19/2019 2:30
1481,vdevice-host-name,dns,0.21,1/19/2019 2:35
1483,vdevice-host-name,https,3.42,1/19/2019 2:35
1484,vdevice-host-name,https,2.88,1/19/2019 2:40
1490,vdevice-host-name,dns,0.39,1/19/2019 2:40
1491,vdevice-host-name,dns,0.13,1/19/2019 2:45
1497,vdevice-host-name,https,2.85,1/19/2019 2:45
1500,vdevice-host-name,https,2.88,1/19/2019 2:50
1501,vdevice-host-name,dns,0.3,1/19/2019 2:50
1505,vdevice-host-name,https,2.89,1/19/2019 2:55
1507,vdevice-host-name,dns,0.16,1/19/2019 2:55
1516,vdevice-host-name,dns,0.21,1/19/2019 3:00
1517,vdevice-host-name,https,3.4,1/19/2019 3:00
1520,vdevice-host-name,dns,0.06,1/19/2019 3:05
1523,vdevice-host-name,https,2.85,1/19/2019 3:05
1527,vdevice-host-name,https,2.85,1/19/2019 3:10
1528,vdevice-host-name,dns,0.35,1/19/2019 3:10
1537,vdevice-host-name,dns,0.12,1/19/2019 3:15
1538,vdevice-host-name,https,2.88,1/19/2019 3:15
1541,vdevice-host-name,dns,0.08,1/19/2019 3:20
1545,vdevice-host-name,https,2.87,1/19/2019 3:20
1551,vdevice-host-name,https,2.87,1/19/2019 3:25
1553,vdevice-host-name,dns,0.36,1/19/2019 3:25
1555,vdevice-host-name,https,2.86,1/19/2019 3:30
1558,vdevice-host-name,dns,0.25,1/19/2019 3:30
1563,vdevice-host-name,https,3.42,1/19/2019 3:35
1565,vdevice-host-name,dns,0.09,1/19/2019 3:35
1570,vdevice-host-name,https,2.88,1/19/2019 3:40
1572,vdevice-host-name,dns,0.29,1/19/2019 3:40
1575,vdevice-host-name,https,2.88,1/19/2019 3:45
1577,vdevice-host-name,dns,0.18,1/19/2019 3:45
1582,vdevice-host-name,dns,0.25,1/19/2019 3:50
1585,vdevice-host-name,https,3.42,1/19/2019 3:50
1593,vdevice-host-name,dns,0.17,1/19/2019 3:55
1595,vdevice-host-name,https,2.86,1/19/2019 3:55
1598,vdevice-host-name,https,2.86,1/19/2019 4:00
1602,vdevice-host-name,dns,0.12,1/19/2019 4:00
1607,vdevice-host-name,https,2.87,1/19/2019 4:05
1609,vdevice-host-name,dns,0.17,1/19/2019 4:05
1614,vdevice-host-name,https,3.41,1/19/2019 4:10
1616,vdevice-host-name,dns,0.27,1/19/2019 4:10
1617,vdevice-host-name,dns,0.12,1/19/2019 4:15
1622,vdevice-host-name,https,2.87,1/19/2019 4:15
1624,vdevice-host-name,https,2.86,1/19/2019 4:20
1627,vdevice-host-name,dns,0.05,1/19/2019 4:20
1634,vdevice-host-name,https,2.86,1/19/2019 4:25
1635,vdevice-host-name,dns,0.39,1/19/2019 4:25
1641,vdevice-host-name,https,3.42,1/19/2019 4:30
1643,vdevice-host-name,dns,0.16,1/19/2019 4:30
1645,vdevice-host-name,https,2.86,1/19/2019 4:35
1648,vdevice-host-name,dns,0.11,1/19/2019 4:35
1653,vdevice-host-name,dns,0.37,1/19/2019 4:40
1654,vdevice-host-name,https,2.86,1/19/2019 4:40
1660,vdevice-host-name,https,2.88,1/19/2019 4:45
1663,vdevice-host-name,dns,0.27,1/19/2019 4:45
1667,vdevice-host-name,https,2.84,1/19/2019 4:50
1671,vdevice-host-name,dns,0.14,1/19/2019 4:50
1675,vdevice-host-name,https,2.86,1/19/2019 4:55
1678,vdevice-host-name,dns,0.2,1/19/2019 4:55
1681,vdevice-host-name,https,2.42,1/19/2019 5:00
